school,department_name,harvard_equivalent,nih_2020
Mount Sinai-Icahn,POPULATION HEALTH SCIENCE AND POLICY,HCP,3195312
Cincinnati,ENVIRONMENTAL AND PUBLIC HEALTH SCIENCES,GHSM,5182379
Creighton,MEDICAL HUMANITIES,GHSM,NA
Wisconsin,MEDICAL HISTORY AND BIOETHICS,GHSM,NA
Massachusetts,POPULATION AND QUANTITATIVE HEALTH SCIENCES,GHSM,8894666
North Carolina,SOCIAL MEDICINE,GHSM,5041397
Rush,PREVENTIVE MEDICINE,GHSM,1698263
Utah,POPULATION HEALTH SCIENCES,GHSM,8267551
UT San Antonio-Long,POPULATION HEALTH SERVICES,GHSM,NA
UT Medical Branch,PREVENTIVE MEDICINE AND COMMUNITY HEALTH,GHSM,2779108
Renaissance Stony Brook,FAMILY POPULATION AND PREVENTIVE MEDICINE,GHSM,4133291
Missouri Kansas City,MEDICAL HUMANITIES AND BIOETHICS,GHSM,NA
Florida State,BEHAVIORAL SCIENCES AND SOCIAL MEDICINE,GHSM,5952372
